id,name,description,price,image,restaurant_id
21,Ayam Goreng Mentega,Ayam Goreng Mentega - Ayam goreng khas Indonesia yang diolah dengan saus mentega gurih-manis,50000,https://th.bing.com/th/id/OIP.98Dnqu9iRV871CzgXyNXyAAAAA?rs=1&pid=ImgDetMain,5
22,Fu Yung Hai,"Fu Yung Hai - Telur dadar gaya Tionghoa yang fluffy dengan sayuran dan daging, disajikan dengan saus",37000,https://inionline.id/wp-content/uploads/2020/11/Fuyunghai.jpg,5
23,Bistik Sapi,"Bistik Sapi - Bistik sapi gaya Indonesia yang disajikan dengan saus, sayuran, dan kentang",55000,https://bertuahpos.com/wp-content/uploads/2021/07/bistik.jpg,5
24,Soda Gembira,"Soda Gembira - Minuman soda manis khas Indonesia yang dibuat dengan air soda, susu kental manis, dan sirup",15000,https://statics.indozone.news/content/2019/05/28/gmszJr/t_5cecf455c1a3a_700.jpg,5
25,Teh Manis Panas,"Teh Manis Panas - Teh manis panas, minuman klasik Indonesia",3000,https://awsimages.detik.net.id/community/media/visual/2016/05/14/e6bd831a-6b52-403f-81e2-61555f07fb68_169.jpg?w=700&q=90,5
26,Capcay Ayam,Capcay Ayam - Tumis sayuran gaya Tionghoa-Indonesia dengan ayam dalam saus gurih ringan,350000,https://cdn.idntimes.com/content-images/post/20181003/d0cd9382be4e0ff9172866c57ead5139.jpg,6
27,India Curry,India Curry - Kari kaya rempah gaya India dengan bumbu dan rempah aromatik,48000,https://images.slurrp.com/prod/articles/yadmk04m99b.webp,6
28,Sop Buntut,Sop Buntut - Sup buntut sapi tradisional Indonesia dengan kaldu kaya dan sayuran,70000,https://i.pinimg.com/originals/b8/cc/91/b8cc919126006a9e33daf42a607a788f.jpg,6
29,Strawberry Milkshakes,"Strawberry Milkshakes - Campuran creamy stroberi segar, es krim, dan susu",35000,https://img.freepik.com/free-photo/high-angle-strawberry-milkshake-with-copy-space_23-2148707845.jpg?w=826&t=st=1700771342~exp=1700771942~hmac=6347542364d76a68271fbf82a7b61f39179ebac623f2bbb4b03b2c555923b380,6
30,Coca Cola,Coca Cola - Minuman bersoda klasik yang disajikan dingin,10000,https://mir-s3-cdn-cf.behance.net/project_modules/1400/5307ef37224391.57397a56d79da.jpg,6
31,Vegan Omelette,Vegan Omelette - Telur dadar nabati yang dibuat dengan tepung chickpea dan sayuran,25000,https://downshiftology.com/wp-content/uploads/2021/12/How-to-Make-an-Omelette-main-1.jpg,7
32,Fruit Salad,Fruit Salad - Aneka buah segar yang disajikan sebagai hidangan pendamping atau pencuci mulut,20000,https://imagesvc.meredithcorp.io/v3/mm/image?q=60&c=sc&poi=[1040%2C1000]&w=2000&h=1000&url=https:%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F44%2F2022%2F08%2F30%2Feasy-fruit-salad132.jpg,7
33,Cup Coffee,Cup Coffee - Kopi seduh segar yang disajikan dalam cangkir,10000,https://th.bing.com/th/id/OIP.4WUjqZXl4tBdfKEwgN9FKAHaE7?rs=1&pid=ImgDetMain,7
34,Special Nasi Campur,Special Nasi Campur - Nasi dengan berbagai lauk pauk dan hidangan pendamping khas Indonesia,27000,https://th.bing.com/th/id/OIP.7sIUH1CCOUQjKtJ-Rkr0IQHaE6?rs=1&pid=ImgDetMain,7
35,Mie Goreng Chicken,Mie Goreng Chicken - Mie goreng dengan ayam dan sayuran gaya Indonesia,27000,https://th.bing.com/th/id/OIP.XopMmqw3CknkrW3tnZLtkQAAAA?rs=1&pid=ImgDetMain,7
36,Javanese Fried Noodle,Javanese Fried Noodle - Mie goreng tradisional gaya Jawa dengan bumbu lokal,30000,https://statics.indozone.news/local/62808fd179939.jpg,8
37,Javanese Noodle Soup,Javanese Noodle Soup - Sup mie yang menghangatkan dengan bumbu dan bahan khas Jawa,30000,https://img-global.cpcdn.com/recipes/40cbf20d7c3db90e/680x482cq70/mie-godog-jawa-foto-resep-utama.jpg,8
38,Capcay,Capcay - Tumis aneka sayuran gaya Tionghoa-Indonesia dalam saus gurih,35000,https://www.masakapahariini.com/wp-content/uploads/2019/09/capcay-kuah.jpg,8
39,Rica Ayam Kampung,Rica Ayam Kampung - Hidangan ayam kampung pedas gaya Manado,40000,https://asset-a.grid.id/crop/0x0:0x0/700x465/photo/2022/04/21/resep-ayam-rica-rica-sajian-sed-20220421123934.jpg,8
40,Nasi Magelangan,Nasi Magelangan - Nasi goreng Jawa yang dicampur dengan mie dan berbagai topping,25000,https://minyakgorengsunco.com/wp-content/uploads/2020/12/nasi-magelangan.jpg,8
41,Soup Kacang Merah,"Soup Kacang Merah - Sup kacang merah, hidangan Indonesia yang menghangatkan",25000,https://th.bing.com/th/id/OIP.T19Vg13e4JObfPQI66zK5AHaEc?rs=1&pid=ImgDetMain,9
42,Salad Mentimun,Salad Mentimun - Salad timun segar dengan bumbu khas Indonesia,17500,https://th.bing.com/th/id/OIP.v2O4Pdqy0Q-uNrWXzBjeUAAAAA?rs=1&pid=ImgDetMain,9
43,Gecok Kambing,Gecok Kambing - Hidangan daging kambing pedas dengan bumbu Jawa tradisional,32500,https://asset.kompas.com/crops/zwhq5JLaWKKXIYyRdJqjGNxVje4=/281x103:1000x582/750x500/data/photo/2017/08/24/1157878709.jpg,9
44,Wedang Sereh,"Wedang Sereh - Teh sereh hangat, minuman tradisional Indonesia",15000,https://img.okezone.com/content/2015/08/14/298/1196530/resep-wedang-jahe-sereh-8J7dmQzhZY.jpg,9
45,Adu Limo,Adu Limo - Minuman berbasis jeruk dengan lima jenis jeruk,15000,https://cdn-1.timesmedia.co.id/images/2022/12/21/gudeg-2.jpg,9
46,Sop Hisit Ayam,Sop Hisit Ayam - Sup ayam bening dengan sayuran,35000,https://img-global.cpcdn.com/recipes/6883c9750abb6832/1200x630cq70/photo.jpg,10
47,Kepiting Saus Singapur,Kepiting Saus Singapur - Kepiting dengan saus gaya Singapura,150000,https://www.topwisata.info/wp-content/uploads/2022/01/Kepiting-Saus-Singapore-1.jpg,10
48,Udang Asam Manis,Udang Asam Manis - Udang dalam saus asam manis,57500,https://blog.tokowahab.com/wp-content/uploads/2020/04/Resep-Udang-Asam-Manis-dan-Sejarah-Saus-Asam-Manis.jpg,10
49,Hot Plate Sapi,Hot Plate Sapi - Daging sapi yang disajikan di atas hot plate panas,60000,https://www.masakapahariini.com/wp-content/uploads/2019/03/tumis-sapi-dengan-jamur-780x440.jpg,10
50,Juice Wortel,Juice Wortel - Jus wortel segar,15000,https://s3.cosmopolitan.co.id/rsz_oojz1t0_42_20190605180208zQ9o0H.jpg,10
51,Ayam Woku,Ayam Woku - Ayam pedas gaya Manado dengan rempah aromatik,45000,https://rinaresep.com/wp-content/uploads/2022/02/Ayam-woku.jpg,11
52,Chia Tea,Chia Tea - Teh rempah dengan biji chia,23000,https://static.fanpage.it/wp-content/uploads/sites/22/2019/09/chaitea.jpg,11
53,Rybs Bbq,Rybs Bbq - Iga bakar dengan saus spesial,59000,https://rinaresep.com/wp-content/uploads/2022/05/Iga-bakar.jpg,11
54,Michee Pot,Michee Pot - Mie yang disajikan dalam gaya hot pot,47000,https://cdn1-production-images-kly.akamaized.net/G5cpNbbko1Xp54Rot-aONiRM8A0=/680x383/smart/filters:quality(75):strip_icc():format(jpeg)/kly-media-production/medias/2493935/original/099884500_1543369494-resep-mie-kuning-kuah-santan-pedas.jpg,11
55,Picatta Chicken,Picatta Chicken - Ayam gaya Italia dalam saus lemon-caper,47000,https://www.tasteofhome.com/wp-content/uploads/2018/01/EXPS_181384_THD143241B02_04_1bC_RMS-1.jpg,11
56,Power Plant,Power Plant - Smoothie nabati yang menyegarkan,36000,https://www.recipegirl.com/wp-content/uploads/2007/11/blueberry-lemon-smoothies-Horizontal.jpg,12
57,Root Boost,Root Boost - Campuran jus segar dari sayuran berakar,36000,https://th.bing.com/th/id/OIP.vnu3cKV7gBzWwW3Z-4E55gHaE7?rs=1&pid=ImgDetMain,12
58,Ice Almond Choco,Ice Almond Choco - Minuman coklat dingin dengan susu almond,36000,https://th.bing.com/th/id/OIP.oZL2Aa-lLpN80f5TIJT6ggAAAA?rs=1&pid=ImgDetMain,12
59,Salad Roll,Salad Roll - Sayuran segar yang dibungkus dengan rice paper,20000,https://cdn.shopify.com/s/files/1/0226/1641/articles/Della-Terra-Fresh-Salad-Rolls_77041132_2048x.jpg?v=1474340456,12
60,Smoothie Bowl,Smoothie Bowl - Smoothie kental yang ditaburi buah-buahan dan granola,45000,https://www.sparklestosprinkles.com/wp-content/uploads/2020/09/Set-2-Horizontal-Smoothie-Bowl--1024x683.jpg,12
61,Sayur Lodeh,Sayur Lodeh - Sayur kuah santan khas Indonesia,15000,https://www.unileverfoodsolutions.co.id/dam/global-ufs/mcos/SEA/calcmenu/recipes/ID-recipes/vegetables-&-vegetable-dishes/sayur-lodeh/main-header.jpg/jcr:content/renditions/cq5dam.thumbnail.desktop.jpeg,13
62,Ayam Bumbu Rujak,Ayam Bumbu Rujak - Ayam dalam saus pedas berbasis buah,26000,https://asset.kompas.com/crops/w3Zuj3TKhmint437La_Uhhviw3k=/0x0:698x465/750x500/data/photo/2020/12/26/5fe7423fca317.jpg,13
63,Sei Sapi Biasa,Sei Sapi Biasa - Hidangan daging sapi asap tradisional,30000,https://mengenalindonesia.com/wp-content/uploads/2022/06/sei-sapi.jpg,13
64,Nasi Campur Ayam Bakar,Nasi Campur Ayam Bakar - Nasi dengan ayam bakar dan lauk pendamping,29000,https://img.inews.co.id/media/1050/files/inews_new/2020/08/19/IMG_19082020_112605__822_x_430_piksel_.jpg,13
65,Ayam Panggang Dada,Ayam Panggang Dada - Dada ayam panggang,32000,https://akcdn.detik.net.id/visual/2019/08/13/ec4b1da1-1eb0-4f34-8afa-3d39899654a5_169.jpeg?w=650,13
66,Gudeng Nasi Krecek Dan Telur Bebek,Gudeng Nasi Krecek Dan Telur Bebek - Gudeg khas Yogyakarta dengan krecek dan telur bebek,15000,https://gudegyudjumpusat.com/wp-content/uploads/2015/12/Nasi-Gudeg-Krecek-Telur.jpg,14
67,Gudeg Nasi Krecek Dan Chicken Wing,Gudeg Nasi Krecek Dan Chicken Wing - Gudeg dengan krecek dan sayap ayam,25000,https://gudegyudjumpusat.com/wp-content/uploads/2015/12/Nasi-Gudeg-Telur-Sayap-Ayam.jpg,14
68,Gudeg Nasi Krecek Telur Bebek Dan Tahu,"Gudeg Nasi Krecek Telur Bebek Dan Tahu - Gudeg dengan krecek, telur bebek, dan tahu",18000,https://gudegyudjumpusat.com/wp-content/uploads/2015/12/Nasi-Gudeg-Telur-Tahu-Tempe.jpg,14
69,Gudeg Nasi Krecek Telur Bebek Dan Dada Ayam,"Gudeg Nasi Krecek Telur Bebek Dan Dada Ayam - Gudeg dengan krecek, telur bebek, dan dada ayam",50000,https://gudegyudjumpusat.com/wp-content/uploads/2015/12/Nasi-Gudeg-Telur-Dada-Ayam.jpg,14
70,Gudeg Nasi Krecek Telur Bebek Dan Ayam Suwir,"Gudeg Nasi Krecek Telur Bebek Dan Ayam Suwir - Gudeg dengan krecek, telur bebek, dan ayam suwir",25000,https://gudegyudjumpusat.com/wp-content/uploads/2015/12/Nasi-Gudeg-Telur-Ayam-Suwir.jpg,14
71,10 Tusuk Sate Ayam,10 Tusuk Sate Ayam - 10 tusuk sate ayam klasik,20000,https://down-id.img.susercontent.com/file/f1670c75922cb2ca3b65e6672253ab46,15
72,10 Tusuk Sate Brutu,10 Tusuk Sate Brutu - 10 tusuk sate bagian ekor ayam,40000,https://www.finnafood.com/blog/wp-content/uploads/2024/05/brutu-ayam.jpg,15
73,10 Tusuk Sate Uritan,10 Tusuk Sate Uritan - 10 tusuk sate kulit ayam,40000,https://img.merahputih.com/media/ea/54/e1/ea54e199178b694df01c87359ac57a88.jpg,15
74,Lontong,Lontong - Nasi yang dikukus dan dibungkus daun pisang,3000,https://asset.kompas.com/crops/xZS6u6YpxkIvy58pQvxOkNkiaGk=/100x67:900x600/750x500/data/photo/2022/07/07/62c692d21a4a5.jpg,15
75,Nasi,Nasi - Nasi putih yang dikukus,3000,https://img-global.cpcdn.com/recipes/8f169646b01b98cf/680x482cq70/menanak-nasi-putih-metode-siram-foto-resep-utama.jpg,15
76,Paklay Goreng/Kuah,"Paklay Goreng/Kuah - Pilihan sayuran campur dengan jeroan, bisa goreng atau berkuah",40000,https://img-global.cpcdn.com/recipes/e4d26e0ce6ba1da8/400x400cq70/photo.jpg,16
77,Cap Cay Goreng/Kuah,Cap Cay Goreng/Kuah - Pilihan capcay goreng atau kuah gaya Tionghoa,38000,https://awsimages.detik.net.id/community/media/visual/2021/07/23/resep-capcay-goreng-bakso_43.jpeg?w=600&q=90,16
78,Bakmi Goreng/Kuah,Bakmi Goreng/Kuah - Pilihan mie goreng atau mie kuah,31000,https://img-global.cpcdn.com/recipes/c6f657e36068287e/680x482cq70/mie-goreng-kuah-pedas-foto-resep-utama.jpg,16
79,Bihun Goreng/Kuah,Bihun Goreng/Kuah - Pilihan bihun goreng atau bihun kuah,31000,https://images.tokopedia.net/img/cache/700/VqbcmM/2021/10/17/fb169f50-eaa5-4da7-a77c-af70a4bd2020.jpg,16
80,Nasi Goreng,Nasi Goreng - Nasi goreng Indonesia dengan pilihan protein,30000,https://turnonthestove.com/wp-content/uploads/2022/09/Fried-Rice-19-2000x1333.jpg,16
81,Jogja Fried Chicken,Jogja Fried Chicken - Ayam goreng khas Yogyakarta,48000,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS-cNgqXiahBqNYk0zzf4wivscj8J6EPHPoCQ&s,17
82,Chicken Curry Sauce,Chicken Curry Sauce - Ayam dalam saus kari aromatik,52000,https://www.saucefanatic.com/wp-content/uploads/2022/08/easy-curry-sauce-6.jpg.webp,17
83,Satay Ayam,Satay Ayam - Sate ayam dengan bumbu kacang,48000,https://d1vbn70lmn1nqe.cloudfront.net/prod/wp-content/uploads/2023/07/14053934/Mudah-Dibuat-di-Rumah-Ini-Resep-Sate-Ayam-Bumbu-Kacang-yang-Lezat-.jpg,17
84,Opor Ayam,Opor Ayam - Ayam yang dimasak dalam kuah santan,48000,https://images.tokopedia.net/img/JFrBQq/2024/3/18/b54ae774-6efb-4d51-9e73-169067d48d21.jpg,17
85,Soto Ayam,Soto Ayam - Sup ayam tradisional Indonesia,40000,https://assets.tmecosys.com/image/upload/t_web767x639/img/recipe/ras/Assets/23f62312738135ab286e78812093c46b/Derivates/2e373c2ef0bf36c9e8475cbf93347db5a3496309.jpg,17
86,Lotek Kupat,Lotek Kupat - Kupat dengan sayuran dan bumbu kacang,12000,https://asset.kompas.com/crops/FwUi6NPgap6goby-TRtK4gMgnpE=/0x0:1000x667/750x500/data/photo/2021/09/09/613992c80e500.jpg,18
87,Lotek Nasi,Lotek Nasi - Nasi dengan sayuran dan bumbu kacang,15000,https://assets-pergikuliner.com/CHQecoOASiLdKc234JMIG5p0C-o=/fit-in/1366x768/smart/filters:no_upscale()/https://assets-pergikuliner.com/uploads/image/picture/1532923/picture-1565686048.jpg,18
88,Gado-Gado Kupat,Gado-Gado Kupat - Kupat dengan sayuran rebus dan bumbu kacang,14000,https://cdn0-production-images-kly.akamaized.net/3nM6RrCH7JbprjUWMsOS-yWU3dE=/1292x0:4028x3649/500x667/filters:quality(75):strip_icc():format(webp)/kly-media-production/medias/3003485/original/031140600_1577077627-shutterstock_1134726923.jpg,18
89,Ketoprak,Ketoprak - Sayuran dan tahu dengan bumbu kacang khas Jakarta,14000,https://asset.kompas.com/crops/ft12l83MIJsi8uAIT4CnKYrsdYI=/0x0:1000x667/750x500/data/photo/2023/04/29/644d417a9c7ce.jpg,18
90,Cumi Goreng Telur Asin,Cumi Goreng Telur Asin - Cumi goreng dengan saus telur asin,18000,https://img-global.cpcdn.com/recipes/Recipe_2015_04_28_01_40_49_18_da89b5d3f171a2e10ce8/680x482cq70/cumi-goreng-telur-asin-foto-resep-utama.jpg,18
91,Nasi Gudeg Krecek,Nasi Gudeg Krecek - Nasi dengan gudeg dan krecek,25000,https://gudegyudjumpusat.com/wp-content/uploads/2015/12/Nasi-Gudeg-Krecek-Rampela-Ati.jpg,19
92,Nasi Gudeg Krecek Tahu,"Nasi Gudeg Krecek Tahu - Nasi dengan gudeg, krecek, dan tahu",30000,https://gudegyudjumpusat.com/wp-content/uploads/2015/12/Nasi-Gudeg-Telur-Tahu-350x233.jpg,19
93,Nasi Gudeg Krecek Tempe,"Nasi Gudeg Krecek Tempe - Nasi dengan gudeg, krecek, dan tempe",30000,https://gudegyudjumpusat.com/wp-content/uploads/2015/12/Nasi-Gudeg-Telur-Dada-Ayam-350x233.jpg,19
94,Nasi Gudeg Krecek Telor,"Nasi Gudeg Krecek Telor - Nasi dengan gudeg, krecek, dan telur",34000,https://gudegyudjumpusat.com/wp-content/uploads/2015/12/Nasi-Gudeg-Telur-Tempe.jpg,19
95,Nasi Gudeg Krecek Sambal Goreng Ati,"Nasi Gudeg Krecek Sambal Goreng Ati - Nasi dengan gudeg, krecek, dan sambal goreng ati",38000,https://gudegyudjumpusat.com/wp-content/uploads/2015/12/Nasi-Gudeg-Krecek-Rampela-Ati.jpg,19
96,Gurame Semur,Gurame Semur - Ikan gurame yang dimasak dengan kecap manis,67000,https://img-global.cpcdn.com/recipes/733b8df11028d62a/1200x630cq70/photo.jpg,20
97,Udang Galah Masak Tauco,Udang Galah Masak Tauco - Udang galah yang dimasak dengan saus tauco,55000,https://img-global.cpcdn.com/recipes/Recipe_2015_01_04_00_22_13_65_dab07c98f1cff84bff88/680x482cq70/ala-mami-udang-tauco-medan-tahun-baru-foto-resep-utama.jpg,20
98,Udang Galah Saus Tiram,Udang Galah Saus Tiram - Udang galah dalam saus tiram,55000,https://img-global.cpcdn.com/recipes/dc5d2181a83a7300/680x482cq70/udang-galah-saus-tiram-foto-resep-utama.jpg,20
99,Gurame Bakar Sambal Dewa,Gurame Bakar Sambal Dewa - Ikan gurame bakar dengan sambal spesial,67000,https://img-global.cpcdn.com/recipes/61d64ad43934bf2e/680x482cq70/gurame-bakar-sambal-dabu-dabu-foto-resep-utama.jpg,20
100,Gurame Lombok Ijo,Gurame Lombok Ijo - Ikan gurame yang dimasak dengan cabai hijau,63000,https://dcostseafood.id/wp-content/uploads/2021/12/Ikan-Gurami-Goreng-Sambal-Ijo.jpg,20
